                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.94522,                0.56969,                0.99235,                0.92009,                0.81872,                0.90781,                0.65561,                0.89771,                0.50158,                0.98953,               0.007789,               0.007789,               0.007789
                     70,                0.94896,                 0.5726,                0.99655,                0.91764,                0.81999,                0.91091,                0.64945,                0.90114,                0.49718,                0.98588,               0.007756,               0.007756,               0.007756
                     71,                0.93154,                 0.5536,                0.98544,                0.92087,                 0.8188,                 0.9049,                0.66271,                0.86821,                0.48953,                0.97754,               0.007723,               0.007723,               0.007723
                     72,                0.94202,                 0.5589,                 0.9836,                0.91898,                0.81613,                0.91019,                0.65623,                0.90232,                0.49551,                0.98814,                0.00769,                0.00769,                0.00769
                     73,                0.94809,                0.56225,                0.98751,                0.92308,                0.81769,                 0.9114,                0.65026,                 0.9211,                0.49847,                0.99576,               0.007657,               0.007657,               0.007657
                     74,                0.94132,                0.55472,                0.98283,                 0.9135,                0.82948,                0.91113,                0.67118,                0.86144,                0.48003,                0.97584,               0.007624,               0.007624,               0.007624
                     75,                0.93723,                0.55539,                 0.9855,                0.91257,                0.82208,                0.91089,                0.64413,                0.92071,                0.48857,                 0.9886,               0.007591,               0.007591,               0.007591
                     76,                0.93559,                0.56532,                0.99036,                0.91343,                0.81732,                0.90665,                0.66016,                0.88961,                0.49669,                0.98855,               0.007558,               0.007558,               0.007558
                     77,                0.92922,                 0.5545,                0.98013,                0.92919,                0.82535,                0.91351,                  0.668,                0.88288,                0.47772,                 0.9823,               0.007525,               0.007525,               0.007525
                     78,                0.93984,                0.55878,                0.98306,                0.92117,                0.82401,                0.91002,                0.65444,                0.90626,                0.48611,                0.98891,               0.007492,               0.007492,               0.007492
                     79,                0.93033,                0.55639,                0.98464,                0.92092,                0.81772,                0.90751,                0.66141,                0.88115,                0.48566,                0.98203,               0.007459,               0.007459,               0.007459
                     80,                0.92248,                 0.5478,                0.98143,                0.92775,                 0.8191,                0.91106,                0.66089,                0.89245,                0.48529,                0.98559,               0.007426,               0.007426,               0.007426
                     81,                0.92751,                0.54713,                0.97544,                0.92589,                0.82029,                0.91366,                0.65945,                 0.9015,                0.48022,                0.98622,               0.007393,               0.007393,               0.007393
                     82,                0.93993,                0.54819,                0.97785,                0.92177,                0.82446,                0.91555,                0.67438,                0.86433,                0.47682,                0.97253,                0.00736,                0.00736,                0.00736
                     83,                0.93368,                0.55126,                0.98781,                0.90463,                0.84231,                0.91482,                0.67385,                0.87102,                0.47817,                0.97691,               0.007327,               0.007327,               0.007327
                     84,                0.92398,                0.54292,                0.97972,                0.93147,                0.83309,                0.91907,                0.67387,                0.87103,                0.47094,                0.97778,               0.007294,               0.007294,               0.007294
                     85,                0.93278,                0.54219,                0.98321,                0.92066,                 0.8286,                0.91245,                0.66508,                0.88874,                 0.4793,                0.97919,               0.007261,               0.007261,               0.007261
                     86,                0.92552,                0.54176,                 0.9722,                   0.93,                0.82615,                0.91678,                0.67343,                0.87479,                 0.4745,                0.97482,               0.007228,               0.007228,               0.007228
                     87,                0.93278,                 0.5382,                0.98087,                0.92768,                0.82446,                0.92006,                0.67173,                0.87876,                0.47762,                0.98505,               0.007195,               0.007195,               0.007195
                     88,                0.92001,                0.54582,                0.97913,                0.93121,                0.82684,                0.91552,                0.67671,                0.84857,                0.46503,                0.97214,               0.007162,               0.007162,               0.007162
                     89,                0.91546,                0.52904,                0.97161,                0.93109,                0.82413,                0.91819,                0.66932,                0.88313,                0.47076,                0.98385,               0.007129,               0.007129,               0.007129
