                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                0.96263,                0.52036,                0.96034,                0.92466,                0.83933,                0.92679,                0.69197,                0.91883,                0.44999,                0.96164,               0.006106,               0.006106,               0.006106
                    121,                0.96792,                0.51923,                0.95924,                0.91786,                0.84618,                0.92934,                0.69019,                0.92664,                0.45053,                0.96433,               0.006073,               0.006073,               0.006073
                    122,                0.94832,                0.50795,                0.94693,                0.92167,                0.84588,                0.92913,                0.68956,                0.92119,                0.45073,                0.96303,                0.00604,                0.00604,                0.00604
                    123,                0.96319,                0.50668,                 0.9514,                0.92423,                0.84565,                0.92844,                0.68558,                0.93747,                0.44978,                0.96781,               0.006007,               0.006007,               0.006007
                    124,                0.94309,                0.50689,                0.95344,                0.92224,                0.84945,                0.92785,                0.69138,                0.92648,                0.44889,                0.96471,               0.005974,               0.005974,               0.005974
                    125,                0.92362,                0.49405,                0.94429,                0.92111,                0.84765,                  0.928,                0.69217,                0.91593,                0.44263,                0.96178,               0.005941,               0.005941,               0.005941
                    126,                0.96913,                0.50826,                0.95326,                0.92744,                0.84796,                0.92869,                 0.6908,                0.91556,                0.44442,                0.96213,               0.005908,               0.005908,               0.005908
                    127,                0.94848,                0.49807,                0.95266,                0.92694,                0.84553,                0.92566,                0.68806,                0.92944,                0.44375,                0.96565,               0.005875,               0.005875,               0.005875
                    128,                0.93015,                0.49239,                0.93955,                0.91671,                0.85421,                0.92871,                0.69115,                 0.9235,                 0.4414,                 0.9637,               0.005842,               0.005842,               0.005842
                    129,                0.94549,                0.50184,                0.95045,                0.91835,                0.85897,                0.93161,                0.69678,                0.90915,                0.43818,                0.95796,               0.005809,               0.005809,               0.005809
                    130,                0.93363,                0.49526,                0.94369,                0.91883,                0.85302,                0.93068,                0.69776,                0.91224,                0.44085,                0.96098,               0.005776,               0.005776,               0.005776
                    131,                0.94936,                0.49789,                0.95022,                0.91639,                0.85767,                0.93162,                0.69857,                0.90991,                0.43882,                0.96217,               0.005743,               0.005743,               0.005743
                    132,                0.94006,                0.49819,                0.95136,                0.91788,                0.85451,                0.92746,                0.69416,                0.91963,                0.43997,                0.96393,                0.00571,                0.00571,                0.00571
                    133,                0.93968,                0.49852,                0.94277,                 0.9131,                0.85973,                0.92678,                 0.6952,                0.91782,                0.44051,                0.96368,               0.005677,               0.005677,               0.005677
                    134,                0.92868,                0.48912,                0.94187,                0.92474,                0.84766,                0.92818,                0.69367,                0.91443,                0.43947,                0.96174,               0.005644,               0.005644,               0.005644
                    135,                0.93107,                0.49264,                0.94405,                0.91271,                0.86175,                0.92827,                0.69058,                0.93192,                0.44195,                 0.9671,               0.005611,               0.005611,               0.005611
                    136,                0.92667,                0.48867,                0.94196,                0.91537,                0.86671,                0.93158,                0.69506,                0.91578,                0.43653,                0.96401,               0.005578,               0.005578,               0.005578
                    137,                0.93411,                0.49395,                0.94482,                0.91947,                0.86291,                0.93069,                0.69587,                0.91318,                 0.4377,                0.95978,               0.005545,               0.005545,               0.005545
                    138,                0.92306,                0.48675,                0.94401,                0.91818,                  0.867,                  0.931,                 0.6967,                 0.9068,                0.43506,                0.95936,               0.005512,               0.005512,               0.005512
                    139,                 0.9229,                0.48526,                0.93784,                0.91985,                0.86343,                0.93129,                0.69793,                0.90372,                0.43365,                0.95765,               0.005479,               0.005479,               0.005479
                    140,                0.91307,                 0.4814,                0.94201,                0.92503,                0.85169,                0.92955,                0.69762,                0.90528,                0.43419,                0.96092,               0.005446,               0.005446,               0.005446
                    141,                0.91005,                0.48173,                0.94043,                 0.9287,                0.84945,                0.93071,                0.69675,                0.90536,                0.43464,                0.95888,               0.005413,               0.005413,               0.005413
                    142,                0.92992,                0.48572,                0.94469,                0.92268,                0.85571,                0.93102,                0.70012,                 0.9028,                0.43273,                0.95844,                0.00538,                0.00538,                0.00538
                    143,                0.91901,                0.48448,                0.93554,                0.92515,                0.85391,                0.93129,                  0.698,                0.90712,                0.43217,                0.95806,               0.005347,               0.005347,               0.005347
                    144,                  0.932,                0.48669,                0.93875,                0.91639,                0.86422,                0.93414,                0.70112,                0.90193,                0.42921,                0.95711,               0.005314,               0.005314,               0.005314
                    145,                0.93697,                0.49121,                0.94259,                0.91889,                0.85927,                0.93348,                0.69919,                0.90737,                0.43147,                0.95932,               0.005281,               0.005281,               0.005281
                    146,                0.92135,                0.48539,                0.93884,                0.92974,                0.85043,                  0.933,                0.70165,                 0.9065,                0.43229,                0.96126,               0.005248,               0.005248,               0.005248
                    147,                0.91592,                 0.4773,                 0.9332,                0.91054,                0.86522,                0.93148,                0.70252,                0.90254,                0.43185,                0.95899,               0.005215,               0.005215,               0.005215
                    148,                0.90681,                 0.4724,                0.93322,                0.92062,                0.86272,                0.93262,                0.70315,                0.89523,                0.43024,                0.95603,               0.005182,               0.005182,               0.005182
                    149,                0.91274,                0.48343,                0.93579,                0.91618,                0.86403,                 0.9328,                0.70029,                0.89659,                0.43067,                0.95531,               0.005149,               0.005149,               0.005149
