                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
72,0.5667,0.56512,0.98887,0.93141,0.80398,0.91034,0.64515,0.55583,0.50942,0.99968,0.007657,0.007657,0.007657
73,0.55719,0.5652,0.98889,0.92249,0.82684,0.92085,0.661,0.52746,0.49343,0.99081,0.007624,0.007624,0.007624
74,0.5681,0.5582,0.9864,0.91869,0.81821,0.91655,0.64533,0.52746,0.50973,0.99311,0.007591,0.007591,0.007591
75,0.55647,0.55221,0.98268,0.92198,0.83331,0.92114,0.66198,0.52247,0.48379,0.9812,0.007558,0.007558,0.007558
76,0.5654,0.56626,0.99133,0.91455,0.84063,0.91296,0.66075,0.53098,0.4958,0.98344,0.007525,0.007525,0.007525
77,0.55573,0.55355,0.99022,0.91441,0.83755,0.91728,0.66573,0.52703,0.49705,0.98045,0.007492,0.007492,0.007492
78,0.56232,0.55101,0.97638,0.91379,0.82941,0.91397,0.65557,0.54236,0.49819,0.98784,0.007459,0.007459,0.007459
79,0.55757,0.54292,0.98088,0.92228,0.83368,0.91814,0.66596,0.52917,0.48793,0.97785,0.007426,0.007426,0.007426
80,0.56551,0.55525,0.98266,0.91355,0.83785,0.91937,0.66499,0.54135,0.48713,0.98632,0.007393,0.007393,0.007393
81,0.57997,0.55473,0.98214,0.91621,0.83615,0.91645,0.65482,0.54649,0.48918,0.98178,0.00736,0.00736,0.00736
82,0.55346,0.53728,0.96965,0.91738,0.83666,0.91508,0.66209,0.53083,0.49289,0.98196,0.007327,0.007327,0.007327
83,0.56983,0.54414,0.97849,0.92062,0.84707,0.9265,0.6769,0.52761,0.47329,0.97878,0.007294,0.007294,0.007294
84,0.57311,0.54585,0.9857,0.92483,0.83466,0.92084,0.67166,0.5232,0.48298,0.97502,0.007261,0.007261,0.007261
85,0.5742,0.53776,0.97134,0.93461,0.83344,0.92417,0.66931,0.5357,0.47515,0.97779,0.007228,0.007228,0.007228
86,0.56328,0.53635,0.98018,0.9135,0.83219,0.91709,0.64927,0.57338,0.48681,0.9874,0.007195,0.007195,0.007195
87,0.57129,0.53677,0.97465,0.92152,0.84201,0.92498,0.67188,0.53384,0.47916,0.97022,0.007162,0.007162,0.007162
88,0.5815,0.54665,0.98339,0.92622,0.83547,0.92412,0.68214,0.52293,0.47687,0.96765,0.007129,0.007129,0.007129
89,0.57983,0.53794,0.97793,0.92876,0.83399,0.92428,0.67843,0.53082,0.46937,0.97226,0.007096,0.007096,0.007096
90,0.56916,0.53239,0.97671,0.93438,0.83467,0.92155,0.67703,0.53285,0.47343,0.97478,0.007063,0.007063,0.007063
91,0.58169,0.53447,0.97793,0.92843,0.83636,0.92218,0.67029,0.55648,0.46952,0.98013,0.00703,0.00703,0.00703
92,0.59052,0.53775,0.98198,0.92225,0.84112,0.92152,0.66407,0.56207,0.47243,0.98574,0.006997,0.006997,0.006997
93,0.57971,0.52653,0.96889,0.92606,0.84588,0.92407,0.68628,0.52334,0.46236,0.96737,0.006964,0.006964,0.006964
94,0.57777,0.53255,0.97488,0.93573,0.83576,0.92604,0.67932,0.5448,0.4674,0.97417,0.006931,0.006931,0.006931
95,0.5849,0.53331,0.97864,0.92301,0.8454,0.92723,0.67594,0.5547,0.47014,0.97944,0.006898,0.006898,0.006898
96,0.5785,0.52587,0.96678,0.91196,0.85064,0.92602,0.68083,0.54368,0.4618,0.97128,0.006865,0.006865,0.006865
97,0.57668,0.52014,0.9761,0.92579,0.84082,0.928,0.67209,0.54368,0.46159,0.97469,0.006832,0.006832,0.006832
98,0.58589,0.52608,0.9707,0.92269,0.84499,0.92804,0.68435,0.53853,0.46001,0.97119,0.006799,0.006799,0.006799
99,0.58227,0.52959,0.97508,0.92856,0.84305,0.92562,0.6832,0.54606,0.46118,0.97019,0.006766,0.006766,0.006766
100,0.58499,0.51936,0.96156,0.92051,0.84766,0.92827,0.67619,0.56405,0.46647,0.97651,0.006733,0.006733,0.006733
101,0.57777,0.51621,0.96724,0.93935,0.83862,0.92845,0.68328,0.55332,0.45643,0.97469,0.0067,0.0067,0.0067
102,0.58656,0.51935,0.96518,0.9371,0.84112,0.92894,0.67993,0.5598,0.45642,0.97268,0.006667,0.006667,0.006667
103,0.59446,0.52433,0.97242,0.93751,0.84677,0.92947,0.68339,0.54928,0.45321,0.96871,0.006634,0.006634,0.006634
104,0.58181,0.51754,0.9658,0.92564,0.85123,0.92858,0.69518,0.52357,0.44871,0.96059,0.006601,0.006601,0.006601
105,0.59422,0.52186,0.97109,0.9381,0.83993,0.92665,0.67962,0.56111,0.4552,0.97015,0.006568,0.006568,0.006568
106,0.5824,0.50916,0.96038,0.92611,0.85392,0.92604,0.68974,0.5389,0.44772,0.96463,0.006535,0.006535,0.006535
107,0.59935,0.51423,0.96697,0.92636,0.84967,0.92384,0.68175,0.5543,0.45189,0.96808,0.006502,0.006502,0.006502
108,0.58866,0.50725,0.96266,0.93873,0.83871,0.92468,0.68647,0.5543,0.4514,0.96716,0.006469,0.006469,0.006469
109,0.59495,0.51834,0.96792,0.93357,0.84618,0.92807,0.68602,0.56131,0.45023,0.96859,0.006436,0.006436,0.006436
110,0.5911,0.50907,0.96661,0.93569,0.84499,0.92799,0.68299,0.56459,0.45476,0.96986,0.006403,0.006403,0.006403
111,0.5983,0.51638,0.96594,0.92326,0.85555,0.92969,0.69199,0.54976,0.44831,0.96296,0.00637,0.00637,0.00637
112,0.59857,0.51125,0.96842,0.92063,0.85589,0.92915,0.69055,0.55838,0.45131,0.96709,0.006337,0.006337,0.006337
113,0.5925,0.51102,0.96418,0.93905,0.84142,0.93069,0.69167,0.56,0.45072,0.96893,0.006304,0.006304,0.006304
114,0.60104,0.50906,0.96681,0.9351,0.84856,0.93096,0.68589,0.5672,0.4505,0.96652,0.006271,0.006271,0.006271
115,0.61235,0.5094,0.96306,0.93752,0.84826,0.93049,0.69308,0.55719,0.44265,0.96581,0.006238,0.006238,0.006238
