                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.96521,                0.57835,                0.99088,                0.90658,                0.82285,                0.91012,                0.65034,                0.89063,                0.51272,                0.98322,               0.008086,               0.008086,               0.008086
                     61,                0.97611,                0.59214,                0.99327,                0.93086,                0.82089,                0.91306,                0.66009,                0.88798,                0.50517,                0.97992,               0.008053,               0.008053,               0.008053
                     62,                0.95894,                  0.574,                0.99191,                0.92742,                0.80363,                0.90901,                0.65749,                0.90249,                0.51298,                0.98923,                0.00802,                0.00802,                0.00802
                     63,                0.94011,                0.56373,                0.97688,                0.90251,                0.82081,                0.90132,                0.64685,                0.93168,                0.52257,                0.98555,               0.007987,               0.007987,               0.007987
                     64,                0.96106,                0.57704,                0.99029,                0.90474,                0.81523,                0.90448,                0.64989,                0.90956,                0.52305,                0.98856,               0.007954,               0.007954,               0.007954
                     65,                0.95952,                0.57151,                 0.9924,                0.93089,                 0.8075,                0.91006,                0.65324,                0.91012,                 0.5098,                0.99116,               0.007921,               0.007921,               0.007921
                     66,                0.95047,                0.56756,                0.98276,                0.90409,                0.81613,                0.90104,                0.65435,                0.90829,                0.50337,                0.99305,               0.007888,               0.007888,               0.007888
                     67,                0.94408,                0.56287,                 0.9842,                0.92665,                0.81186,                0.90844,                0.64829,                0.92796,                 0.5144,                0.99612,               0.007855,               0.007855,               0.007855
                     68,                0.95665,                0.57099,                0.98801,                0.90486,                0.83249,                0.91072,                0.65863,                0.90574,                 0.5075,                 0.9865,               0.007822,               0.007822,               0.007822
                     69,                0.94599,                0.56028,                0.98791,                 0.9216,                0.82208,                0.91214,                0.65813,                0.90178,                0.50451,                0.98705,               0.007789,               0.007789,               0.007789
                     70,                0.95297,                0.56874,                0.99389,                0.91031,                0.83636,                0.91341,                 0.6625,                0.89377,                0.49428,                0.97875,               0.007756,               0.007756,               0.007756
                     71,                0.93003,                0.55337,                0.98228,                  0.915,                0.81987,                0.90757,                 0.6662,                0.87685,                0.50135,                0.97889,               0.007723,               0.007723,               0.007723
                     72,                0.94142,                0.55483,                0.97877,                0.92855,                0.81732,                0.91086,                0.66316,                0.89384,                0.49294,                 0.9804,                0.00769,                0.00769,                0.00769
                     73,                0.94697,                0.55785,                 0.9838,                0.92225,                0.80333,                0.90954,                0.64572,                0.93061,                0.50872,                0.99199,               0.007657,               0.007657,               0.007657
                     74,                0.94665,                0.55402,                0.98378,                 0.9188,                0.82151,                0.91052,                0.67049,                0.86107,                0.48915,                0.97365,               0.007624,               0.007624,               0.007624
                     75,                 0.9382,                0.55569,                0.98264,                0.93201,                0.81464,                0.91225,                0.66534,                0.88138,                0.49317,                0.97582,               0.007591,               0.007591,               0.007591
